target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-L-14__block16,500_600,5.2359,0.0231,0.011,0.046,5
ViT-L-14__block16,600_700,5.2745,0.012,0.012,0.038,5
ViT-L-14__block16,700_800,5.3112,0.0125,0.006,0.026,5
ViT-L-14__block16,800_900,5.3147,0.0124,0.004,0.029,5
ViT-L-14__block16,900_1000,5.3147,0.0151,0.007,0.031,5
ViT-L-14__block16__fov,0_100,4.4473,0.0234,0.071,0.206,5
ViT-L-14__block16__fov,100_200,3.4209,0.0443,0.183,0.461,5
ViT-L-14__block16__fov,200_300,3.6325,0.044,0.129,0.413,5
ViT-L-14__block16__fov,300_400,4.2409,0.0127,0.074,0.26,5
ViT-L-14__block16__fov,400_500,4.9002,0.0395,0.019,0.09,5
ViT-L-14__block16__fov,500_600,5.2537,0.0327,0.008,0.038,5
ViT-L-14__block16__fov,600_700,5.2924,0.0171,0.008,0.041,5
ViT-L-14__block16__fov,700_800,5.3319,0.0174,0.006,0.023,5
ViT-L-14__block16__fov,800_900,5.3466,0.0193,0.006,0.021,5
ViT-L-14__block16__fov,900_1000,5.3424,0.0153,0.006,0.025,5
ViT-L-14__block20,0_100,4.7566,0.0335,0.026,0.146,5
ViT-L-14__block20,100_200,3.6341,0.0301,0.171,0.431,5
ViT-L-14__block20,200_300,3.7125,0.0409,0.143,0.362,5
ViT-L-14__block20,300_400,4.1984,0.0144,0.086,0.25,5
ViT-L-14__block20,400_500,4.8593,0.0398,0.03,0.098,5
ViT-L-14__block20,500_600,5.2337,0.0261,0.005,0.041,5
ViT-L-14__block20,600_700,5.2886,0.0171,0.015,0.042,5
ViT-L-14__block20,700_800,5.3464,0.0272,0.002,0.026,5
ViT-L-14__block20,800_900,5.3503,0.01,0.006,0.032,5
ViT-L-14__block20,900_1000,5.3545,0.0104,0.005,0.025,5
ViT-L-14__block20__fov,0_100,4.7458,0.0386,0.038,0.143,5
ViT-L-14__block20__fov,100_200,3.5921,0.03,0.173,0.456,5
ViT-L-14__block20__fov,200_300,3.6834,0.0141,0.145,0.4,5
ViT-L-14__block20__fov,300_400,4.1922,0.0124,0.104,0.242,5
ViT-L-14__block20__fov,400_500,4.8519,0.0358,0.019,0.081,5
ViT-L-14__block20__fov,500_600,5.2272,0.0316,0.011,0.049,5
ViT-L-14__block20__fov,600_700,5.2888,0.0229,0.004,0.031,5
ViT-L-14__block20__fov,700_800,5.3337,0.0163,0.006,0.029,5
ViT-L-14__block20__fov,800_900,5.3413,0.0186,0.007,0.031,5
ViT-L-14__block20__fov,900_1000,5.3481,0.0099,0.003,0.015,5
ViT-L-14__block24,0_100,4.9729,0.0131,0.027,0.096,5
ViT-L-14__block24,100_200,3.972,0.0129,0.111,0.347,5
ViT-L-14__block24,200_300,4.0252,0.0248,0.084,0.292,5
ViT-L-14__block24,300_400,4.4353,0.0261,0.063,0.211,5
ViT-L-14__block24,400_500,4.9918,0.0274,0.02,0.086,5
ViT-L-14__block24,500_600,5.296,0.0301,0.011,0.039,5
ViT-L-14__block24,600_700,5.3236,0.0127,0.005,0.025,5
ViT-L-14__block24,700_800,5.3724,0.0083,0.006,0.029,5
ViT-L-14__block24,800_900,5.3906,0.008,0.008,0.024,5
ViT-L-14__block24,900_1000,5.3732,0.011,0.004,0.021,5
ViT-L-14__block24__fov,0_100,4.9751,0.0155,0.023,0.095,5
ViT-L-14__block24__fov,100_200,4.0122,0.0257,0.115,0.336,5
ViT-L-14__block24__fov,200_300,4.0201,0.0242,0.099,0.311,5
ViT-L-14__block24__fov,300_400,4.4278,0.0366,0.068,0.213,5
ViT-L-14__block24__fov,400_500,4.9586,0.0507,0.009,0.073,5
ViT-L-14__block24__fov,500_600,5.2913,0.0323,0.01,0.037,5
ViT-L-14__block24__fov,600_700,5.3095,0.0078,0.005,0.033,5
ViT-L-14__block24__fov,700_800,5.35,0.0128,0.004,0.033,5
ViT-L-14__block24__fov,800_900,5.3657,0.0122,0.0,0.018,5
ViT-L-14__block24__fov,900_1000,5.3617,0.0116,0.003,0.022,5
ViT-L-14__block4,0_100,3.9971,0.0409,0.087,0.259,5
ViT-L-14__block4,100_200,3.1175,0.0369,0.211,0.531,5
ViT-L-14__block4,200_300,3.6582,0.0137,0.141,0.397,5
