target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__layer4,baseline,0,1,7.4377,5.317,0.005,0.02
RN50__layer4,baseline,1,1,7.4378,5.3185,0.005,0.02
RN50__layer4,baseline,2,1,7.4419,5.3193,0.0,0.02
RN50__layer4,baseline,3,1,7.4375,5.3202,0.005,0.025
RN50__layer4,baseline,4,1,7.4346,5.3169,0.005,0.02
RN50__layer4,0_100,0,3,7.0995,4.542,0.04,0.185
RN50__layer4,0_100,1,4,7.0581,4.5551,0.04,0.16
RN50__layer4,0_100,2,5,7.0671,4.5555,0.025,0.16
RN50__layer4,0_100,3,4,7.072,4.563,0.045,0.155
RN50__layer4,0_100,4,4,7.0717,4.5514,0.045,0.165
RN50__layer4,100_200,0,4,6.4067,3.6479,0.175,0.46
RN50__layer4,100_200,1,4,6.419,3.6982,0.14,0.41
RN50__layer4,100_200,2,5,6.4045,3.6144,0.19,0.43
RN50__layer4,100_200,3,5,6.399,3.6058,0.155,0.46
RN50__layer4,100_200,4,4,6.3889,3.6585,0.135,0.445
RN50__layer4,200_300,0,4,6.4705,3.5887,0.195,0.445
RN50__layer4,200_300,1,4,6.4657,3.6268,0.17,0.46
RN50__layer4,200_300,2,5,6.4646,3.5634,0.165,0.47
RN50__layer4,200_300,3,5,6.4183,3.5914,0.17,0.49
RN50__layer4,200_300,4,4,6.4877,3.559,0.17,0.455
RN50__layer4,300_400,0,4,6.9083,4.0521,0.115,0.31
RN50__layer4,300_400,1,4,6.9237,4.0307,0.09,0.355
RN50__layer4,300_400,2,3,6.9529,4.0069,0.13,0.39
RN50__layer4,300_400,3,4,6.8959,4.0264,0.11,0.36
RN50__layer4,300_400,4,4,6.9199,3.9857,0.12,0.37
RN50__layer4,400_500,0,3,7.3233,4.8187,0.04,0.135
RN50__layer4,400_500,1,2,7.3245,4.8323,0.03,0.125
RN50__layer4,400_500,2,2,7.3263,4.8419,0.055,0.15
RN50__layer4,400_500,3,3,7.3097,4.7655,0.035,0.16
RN50__layer4,400_500,4,3,7.3238,4.7683,0.045,0.17
RN50__layer4,500_600,0,1,7.4174,5.2808,0.01,0.05
RN50__layer4,500_600,1,1,7.4123,5.2879,0.005,0.025
