target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-L-14__block12__fov,700_800,5.3012,0.0018,0.004,0.025,5
ViT-L-14__block16,baseline,5.3143,0.0025,0.004,0.027,5
ViT-L-14__block16,0_100,4.48,0.0169,0.047,0.155,5
ViT-L-14__block16,100_200,3.8535,0.0227,0.143,0.345,5
ViT-L-14__block16,200_300,3.8332,0.0265,0.113,0.386,5
ViT-L-14__block16,300_400,4.2248,0.0203,0.066,0.282,5
ViT-L-14__block16,400_500,5.2222,0.0035,0.013,0.048,5
ViT-L-14__block16,500_600,5.2873,0.0028,0.006,0.034,5
ViT-L-14__block16,600_700,5.3004,0.0016,0.003,0.026,5
ViT-L-14__block16,700_800,5.3043,0.003,0.007,0.026,5
ViT-L-14__block16__fov,baseline,5.3123,0.0026,0.005,0.03,5
ViT-L-14__block16__fov,0_100,4.428,0.0195,0.051,0.187,5
ViT-L-14__block16__fov,100_200,3.7678,0.0121,0.145,0.386,5
ViT-L-14__block16__fov,200_300,3.7547,0.019,0.131,0.405,5
ViT-L-14__block16__fov,300_400,4.1941,0.012,0.077,0.28,5
ViT-L-14__block16__fov,400_500,5.1694,0.0951,0.013,0.056,5
ViT-L-14__block16__fov,500_600,5.291,0.0013,0.006,0.025,5
ViT-L-14__block16__fov,600_700,5.3033,0.0028,0.007,0.02,5
ViT-L-14__block16__fov,700_800,5.3042,0.0046,0.007,0.029,5
ViT-L-14__block20,baseline,5.3248,0.0023,0.006,0.028,5
ViT-L-14__block20,0_100,4.7001,0.0192,0.02,0.119,5
ViT-L-14__block20,100_200,3.9574,0.0231,0.107,0.32,5
ViT-L-14__block20,200_300,3.8804,0.0272,0.114,0.412,5
ViT-L-14__block20,300_400,4.1616,0.009,0.09,0.295,5
ViT-L-14__block20,400_500,4.9569,0.1257,0.028,0.115,5
ViT-L-14__block20,500_600,5.2902,0.0058,0.007,0.033,5
ViT-L-14__block20,600_700,5.3096,0.0026,0.005,0.03,5
ViT-L-14__block20,700_800,5.3083,0.0018,0.002,0.029,5
ViT-L-14__block20__fov,baseline,5.3235,0.0017,0.008,0.026,5
ViT-L-14__block20__fov,0_100,4.6778,0.0114,0.03,0.144,5
ViT-L-14__block20__fov,100_200,3.9234,0.0266,0.116,0.324,5
ViT-L-14__block20__fov,200_300,3.8416,0.0167,0.11,0.392,5
ViT-L-14__block20__fov,300_400,4.1598,0.0131,0.092,0.285,5
ViT-L-14__block20__fov,400_500,4.9414,0.1343,0.028,0.105,5
ViT-L-14__block20__fov,500_600,5.2916,0.0036,0.009,0.034,5
ViT-L-14__block20__fov,600_700,5.3082,0.0023,0.006,0.027,5
ViT-L-14__block20__fov,700_800,5.3136,0.0017,0.004,0.029,5
ViT-L-14__block24,baseline,5.3293,0.0043,0.005,0.027,5
ViT-L-14__block24,0_100,4.9147,0.0079,0.022,0.09,5
ViT-L-14__block24,100_200,4.2524,0.0154,0.076,0.274,5
ViT-L-14__block24,200_300,4.1745,0.0237,0.104,0.298,5
ViT-L-14__block24,300_400,4.3871,0.0071,0.066,0.24,5
ViT-L-14__block24,400_500,5.0045,0.1185,0.025,0.089,5
ViT-L-14__block24,500_600,5.3036,0.0025,0.007,0.031,5
ViT-L-14__block24,600_700,5.3186,0.0037,0.005,0.031,5
ViT-L-14__block24,700_800,5.3216,0.0046,0.007,0.027,5
ViT-L-14__block24__fov,baseline,5.329,0.0019,0.004,0.024,5
ViT-L-14__block24__fov,0_100,4.9279,0.019,0.016,0.106,5
ViT-L-14__block24__fov,100_200,4.2373,0.0236,0.087,0.268,5
ViT-L-14__block24__fov,200_300,4.1573,0.019,0.105,0.279,5
ViT-L-14__block24__fov,300_400,4.4119,0.0165,0.062,0.23,5
ViT-L-14__block24__fov,400_500,4.9958,0.118,0.02,0.099,5
ViT-L-14__block24__fov,500_600,5.3044,0.0064,0.005,0.028,5
ViT-L-14__block24__fov,600_700,5.3147,0.0035,0.005,0.025,5
ViT-L-14__block24__fov,700_800,5.3235,0.0022,0.006,0.029,5
ViT-L-14__block4,baseline,5.3003,0.0004,0.005,0.025,5
ViT-L-14__block4,0_100,4.0264,0.0187,0.077,0.283,5
ViT-L-14__block4,100_200,3.4494,0.0214,0.156,0.44,5
ViT-L-14__block4,200_300,3.6125,0.0376,0.15,0.405,5
ViT-L-14__block4,300_400,4.3904,0.0211,0.073,0.238,5
ViT-L-14__block4,400_500,5.1865,0.0742,0.016,0.067,5
ViT-L-14__block4,500_600,5.285,0.001,0.004,0.031,5
ViT-L-14__block4,600_700,5.2945,0.001,0.005,0.025,5
ViT-L-14__block4,700_800,5.2964,0.0018,0.003,0.027,5
ViT-L-14__block4__fov,baseline,5.3002,0.0003,0.005,0.024,5
ViT-L-14__block4__fov,0_100,3.9788,0.0263,0.08,0.294,5
ViT-L-14__block4__fov,100_200,3.3691,0.0226,0.167,0.467,5
ViT-L-14__block4__fov,200_300,3.5495,0.0356,0.152,0.432,5
ViT-L-14__block4__fov,300_400,4.3633,0.0274,0.074,0.253,5
