target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-B-16__block2__fov,300_400,4.6062,0.0366,0.056,0.196,5
ViT-B-16__block2__fov,400_500,5.2421,0.0032,0.012,0.063,5
ViT-B-16__block2__fov,500_600,5.2816,0.0026,0.007,0.032,5
ViT-B-16__block2__fov,600_700,5.2949,0.0012,0.006,0.026,5
ViT-B-16__block2__fov,700_800,5.298,0.0011,0.005,0.03,5
ViT-B-16__block2__fov,800_900,5.3011,0.0013,0.006,0.024,5
ViT-B-16__block2__fov,900_1000,5.3016,0.0017,0.006,0.024,5
ViT-B-16__block4,0_100,3.7778,0.0288,0.111,0.326,5
ViT-B-16__block4,100_200,3.0118,0.0448,0.253,0.53,5
ViT-B-16__block4,200_300,3.3795,0.0179,0.188,0.485,5
ViT-B-16__block4,300_400,4.3859,0.0232,0.065,0.233,5
ViT-B-16__block4,400_500,5.2312,0.0023,0.01,0.068,5
ViT-B-16__block4,500_600,5.2802,0.0041,0.012,0.04,5
ViT-B-16__block4,600_700,5.2939,0.0009,0.005,0.028,5
ViT-B-16__block4,700_800,5.2956,0.0035,0.008,0.03,5
ViT-B-16__block4,800_900,5.2989,0.0021,0.005,0.027,5
ViT-B-16__block4,900_1000,5.3015,0.0037,0.006,0.029,5
ViT-B-16__block4__fov,0_100,3.7188,0.033,0.128,0.336,5
ViT-B-16__block4__fov,100_200,2.9303,0.0533,0.254,0.554,5
ViT-B-16__block4__fov,200_300,3.3026,0.0206,0.216,0.494,5
ViT-B-16__block4__fov,300_400,4.3693,0.0256,0.08,0.228,5
ViT-B-16__block4__fov,400_500,5.2316,0.0048,0.011,0.054,5
ViT-B-16__block4__fov,500_600,5.2802,0.0028,0.008,0.035,5
ViT-B-16__block4__fov,600_700,5.2944,0.0018,0.004,0.031,5
ViT-B-16__block4__fov,700_800,5.2954,0.0048,0.003,0.024,5
ViT-B-16__block4__fov,800_900,5.2991,0.002,0.004,0.024,5
ViT-B-16__block4__fov,900_1000,5.3019,0.0031,0.004,0.018,5
ViT-B-16__block6,0_100,3.9805,0.0248,0.106,0.302,5
ViT-B-16__block6,100_200,3.2495,0.0699,0.224,0.498,5
ViT-B-16__block6,200_300,3.4441,0.0743,0.191,0.467,5
ViT-B-16__block6,300_400,4.3011,0.0197,0.065,0.264,5
